Section ID,Section Order,Section Title,Section Subtitle,Persistent,Subsection Title,Block Order,Block Type,Content,Block ID,Escalate Description,Escalate Type,Escalate Priority,Template Text
intro,1,What Fraud Issue is the Customer Experiencing,,Yes,,1,html,"<ol><li><strong>Confirm Account Secured upon Transfer</strong><ol type=""a""><li>Verify with Consumer Protection that the tokens were revoked on the account and has been properly secured. This process will force a logout on all active sessions, securing the account.<ol type=""i""><li>If Consumer Protection did not revoke token access, the account is still compromised, or you feel it necessary - revoke token access.<ol><li>In the Freshdesk Ticket, fill out the following: [[ESCALATE:intro-esc]]</li></ol></li></ol></li></ol></li><li>Go to the corresponding dropdown section below for the specific unauthorized action taken.</li></ol>",,,,,
intro,1,What Fraud Issue is the Customer Experiencing,,Yes,,2,escalate-def,,intro-esc,Service Issues,Customer Has No Service - Fraud / Account Takeover,Urgent,
device-swap,2,Unauthorized Device/IMEI Swap,Legitimate device replaced by a fraudulent one. — For eSIM devices,,,1,callout-warning,Prior steps must be completed to secure the customer's account before proceeding.,,,,,
device-swap,2,Unauthorized Device/IMEI Swap,Legitimate device replaced by a fraudulent one. — For eSIM devices,,,2,callout-redirect,These issues should be warm transferred to Wireless Case Management from Consumer Protection and a ticket should be created by Consumer Protection.,,,,,
device-swap,2,Unauthorized Device/IMEI Swap,Legitimate device replaced by a fraudulent one. — For eSIM devices,,,3,html,"<ol><li><strong>Reactivate service to the legitimate device</strong><ol type=""a""><li>Verify the IMEI of <strong>legitimate</strong> device</li><li>Verify the IMEI of the <strong>fraudulent</strong> device has been blacklisted</li><li>If the device is eSIM compatible, reactivate in Customer App by sending a new eSIM profile<ol type=""i""><li>Once installed, confirm services are working properly and move to the <strong>{{▿Fraud Routing->fraud-routing}}</strong> section.</li></ol></li></ol></li></ol>",,,,,
device-swap,2,Unauthorized Device/IMEI Swap,Legitimate device replaced by a fraudulent one. — For eSIM devices,,,4,html,"<p style=""color:var(--text-muted); font-size:11.5px;""><em>Device is pSIM instead? Use the <strong>{{▿Unauthorized Device/IMEI Swap - pSIM Devices Only->device-swap-psim}}</strong> section below.</em></p>",,,,,
device-swap-psim,3,Unauthorized Device/IMEI Swap - pSIM Devices Only,,,,1,html,"<ol type=""a""><li><strong>Confirm Consumer Protection has completed the following:</strong><ol type=""i""><li><strong>Account Verified:</strong> Identity and account ownership confirmed</li><li><strong>IMEIs Confirmed:</strong> Legitimate vs. Fraudulent devices identified</li><li><strong>Ticket Created:</strong> Ensure you receive the ticket number with the transfer</li><li><strong>Fraudulent Device Blacklisted:</strong> IMEI updated to BLACKLIST status in SCOUT<ol><li>If BLACKLIST was not done by Consumer Protection <strong>OR</strong> was done incorrectly, move to the <strong>{{▿Blacklist/Whitelist in SCOUT->scout}}</strong> section</li></ol></li></ol></li><li><strong>AT&amp;T MVNO</strong><ol><li>Gather the IMEI and ICCID of the legitimate device.</li><li>Submit the appropriate Network Ticket.<ol type=""a""><li><strong>Description of Issue:</strong> Customer's line was taken over by a fraudster. Please reinstate the following equipment:<ol><li><strong>IMEI:</strong> [Legitimate IMEI]</li><li><strong>ICCID:</strong> [Legitimate ICCID]</li></ol></li><li><strong>Issue Type:</strong> Lost/Stolen</li><li>Add the Case ID to the Freshdesk ticket.</li><li>Set the Freshdesk status to <strong>Waiting on Third Party</strong>.</li></ol></li></ol></li><li><strong>T-Mobile</strong><ol><li>Gather the IMEI and ICCID of the legitimate device.</li><li>Navigate to the 'T-Mobile NextGen' Tool.</li><li>Enter MSISDN of the impacted customer, and click search.</li><li>Click the MSISDN to access the account.</li><li>Verify the <strong>Previous SIM</strong> matches the legitimate customer's pSIM by obtaining the ICCID from the legitimate device itself.<ol><li>If the pSIM matches Previous SIM, continue.</li><li>If the pSIM does <strong>not</strong> match Previous SIM, go to <strong>{{▿Getting a New pSIM->getting-new-psim}}</strong> section.</li></ol></li><li>Navigate to 'Change back to previous MSISDN &amp; SIM' on the top right of the page.</li><li>When the pop-up appears, verify the previous SIM is the legitimate ICCID.</li><li>Click 'Change to Previous'.</li><li>Once complete, power cycle the device and confirm services are working. Then follow the <strong>{{▿Fraud Routing->fraud-routing}}</strong> section.</li></ol></li><li><strong>Hybrid Mobile Network (HMN)</strong><ol><li>Go to the <strong>{{▿Getting a New pSIM->getting-new-psim}}</strong> section.</li></ol></li></ol>",,,,,
getting-new-psim,4,Getting a New pSIM,,,,1,html,"<ol type=""a""><li>Navigate to Customer App &gt; Device Management &gt; Order new pSIM and submit an order for the customer.<ol><li>If the customer chooses to purchase the pSIM at a Boost Retail store, be advised there is a $10 fee to purchase the pSIM and a $35 device setup fee if the store assists the customer with setting up the device.</li></ol></li><li>Advise the customer to call back in to care once they receive the new pSIM for activation assistance.<ol type=""i""><li>For Customer App SIM card orders, offer to send eLiterature for how to activate their new SIM Card.<ol><li>Wireless Knowledge &gt; App Library &gt; Send eLiterature</li></ol></li></ol></li><li>Instruct the customer to update information to secure their account once they are able to.</li><li>Set the Freshdesk status to <strong>Resolved</strong> and follow the <strong>{{▿Fraud Routing->fraud-routing}}</strong> section.</li></ol>",,,,,
plan-change,5,Unauthorized Plan Change,A plan change was made without the permission of the account holder.,,,1,callout-warning,Prior steps must be completed to secure the customer's account before proceeding,,,,,
plan-change,5,Unauthorized Plan Change,A plan change was made without the permission of the account holder.,,,2,html,"<ol><li><strong>Identify the previous plan on the account prior to the unauthorized plan change</strong><ol type=""a""><li>In Wavelo Paddock, search for the line by MSISDN or Account UUID</li><li>Once the subscription information is visible, click <strong>Transactions</strong></li><li>Here you will see the Transaction Date, Product ID and Product Description</li><li>Obtain the Product ID of the plan prior to the unauthorized change</li></ol></li><li><strong>Move to the {{▿Fraud Routing->fraud-routing}} section</strong></li></ol>",,,,,
line-added,6,Unauthorized Line Added,New lines added to the account without permission.,,,1,callout-warning,Prior steps must be completed to secure the customer's account before proceeding,,,,,
line-added,6,Unauthorized Line Added,New lines added to the account without permission.,,,2,html,<ol><li>Identify the line that needs to be removed from the account</li><li>Set the fraudulent line to disconnect in CApp</li><li>Inform the customer that their line will be disconnected at the end of the cycle</li><li>Blacklist the device associated with the unauthorized line added using the <strong>{{▿Blacklist/Whitelist in SCOUT->scout}}</strong> section.</li><li>Move to the <strong>{{▿Fraud Routing->fraud-routing}}</strong> section</li></ol>,,,,,
port-out,7,Unauthorized Port Out,The customer's phone number was ported out without their consent / knowledge,,,1,callout-warning,Prior steps must be completed to secure the customer's account before proceeding,,,,,
